national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,gigantamax,mega_evolution,mega_evolution_alt,description,image_path
197,II,umbreon,Blacky,dark,,Moonlight Pokémon,88.14,11.86,1.0,27.0,45,8960,95,65,110,60,130,65,Synchronize,,,Inner Focus,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0,0,0,Eevee,,,,,,,,,,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes.",pokemon_images/Umbreon.jpg
198,II,murkrow,Yamikarasu,dark,flying,Darkness Pokémon,50,50,0.5,2.1,30,5120,60,85,42,85,42,91,Insomnia,Super Luck,,Prankster,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,0,0,0,Murkrow,Use Dusk Stone,Honchkrow,,,,,,,,It has a weakness for shiny things. It’s been known to sneak into the nests of Gabite—noted collectors of jewels—in search of treasure.,pokemon_images/Murkrow.jpg
199,II,slowking,Yadoking,water,psychic,Royal Pokémon,50.2,49.8,2.0,79.5,70,5120,95,75,80,100,110,30,Oblivious,Own Tempo,,Regenerator,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,0,0,0,Slowpoke,Level,Slowbro,Trade with  King's Rock,Slowking,,,,,,"Miraculously, this former Slowpoke’s latent intelligence was drawn out when Shellder poison raced through its brain.",pokemon_images/Slowking.jpg
200,II,misdreavus,Muma,ghost,,Screech Pokémon,50,50,0.7,1.0,45,6400,60,60,60,85,85,85,Levitate,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,Misdreavus,Use Dusk Stone,Mismagius,,,,,,,,"What gives meaning to its life is surprising others. If you set your ear against the red orbs around its neck, you can hear shrieking.",pokemon_images/Misdreavus.jpg
201,II,unown,Unknown,psychic,,Symbol Pokémon,,,0.5,5.0,225,10240,48,72,48,72,48,48,Levitate,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,Unown,,,,,,,,,,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.",pokemon_images/Unown.jpg
202,II,wobbuffet,Sonans,psychic,,Patient Pokémon,50.2,49.8,1.3,28.5,45,5120,190,33,58,33,58,33,Shadow Tag,,,Telepathy,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,Wynaut,Level ,Wobbuffet,,,,,,,,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike.",pokemon_images/Wobbuffet.jpg
203,II,girafarig,Kirinriki,normal,psychic,Long Neck Pokémon,50,50,1.5,41.5,60,5120,70,80,65,90,65,85,Inner Focus,Early Bird,,Sap Sipper,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0,0,0,Girafarig,,,,,,,,,,"Girafarig’s rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite.",pokemon_images/Girafarig.jpg
204,II,pineco,Kunugidama,bug,,Bagworm Pokémon,50,50,0.6,7.2,190,5120,50,65,90,35,35,15,Sturdy,,,Overcoat,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Pineco,Level ,Forretress,,,,,,,,"Motionless, it hangs from trees, waiting for its bug Pokémon prey to come to it. Its favorite in Alola is Cutiefly.",pokemon_images/Pineco.jpg
205,II,forretress,Foretos,bug,steel,Bagworm Pokémon,50,50,1.2,125.8,75,5120,75,90,140,60,60,40,Sturdy,,,Overcoat,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0,0,0,Pineco,Level ,Forretress,,,,,,,,"When something approaches it, it fires off fragments of its steel shell in attack. This is not a conscious action but a conditioned reflex.",pokemon_images/Forretress.jpg
206,II,dunsparce,Nokocchi,normal,,Land Snake Pokémon,50.2,49.8,1.5,14.0,190,5120,100,70,70,65,65,45,Serene Grace,Run Away,,Rattled,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Dunsparce,,,,,,,,,,This Pokémon’s tiny wings have some scientists saying that Dunsparce used to fly through the sky in ancient times.,pokemon_images/Dunsparce.jpg
207,II,gligar,Gliger,ground,flying,Flyscorpion Pokémon,50,50,1.1,64.8,60,5120,65,75,105,35,65,85,Hyper Cutter,Sand Veil,,Immunity,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Gligar,Level up during the night while holding  Razor Fang,Gliscor,,,,,,,,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.",pokemon_images/Gligar.jpg
208,II,steelix,Haganeil,steel,ground,Iron Snake Pokémon,50.2,49.8,9.2,400.0,25,6400,75,85,200,55,65,30,Rock Head,Sturdy,,Sheer Force,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,0,0,0,Onix,Trade with  Metal Coat,Steelix,,,,,,Mega Steelix,,"It is said that if an Onix lives for over 100 years, its composition changes to become diamond-like.",pokemon_images/Steelix.jpg
209,II,snubbull,Bulu,fairy,,Fairy Pokémon,24.6,75.4,0.6,7.8,190,5120,60,80,50,40,40,30,Intimidate,Run Away,,Rattled,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0,0,0,Snubbull,Level ,Granbull,,,,,,,,It grows close to others easily and is also easily spoiled. The disparity between its face and its actions makes many young people wild about it.,pokemon_images/Snubbull.jpg
210,II,granbull,Granbulu,fairy,,Fairy Pokémon,24.6,75.4,1.4,48.7,75,5120,90,120,75,60,60,45,Intimidate,Quick Feet,,Rattled,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0,0,0,Snubbull,Level ,Granbull,,,,,,,,"While it has powerful jaws, it doesn’t care for disputes, so it rarely has a chance to display their might.",pokemon_images/Granbull.jpg
211,II,qwilfish,Harysen,water,poison,Balloon Pokémon,50.2,49.8,0.5,3.9,45,5120,65,95,85,55,55,85,Poison Point,Swift Swim,,Intimidate,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0,0,0,Qwilfish,,,,,,,,,,"When faced with a larger opponent, it swallows as much water as it can to match the opponent’s size.",pokemon_images/Qwilfish.jpg
212,II,scizor,Hassam,bug,steel,Pincer Pokémon,50.2,49.8,1.8,118.0,25,6400,70,130,100,55,80,65,Swarm,Technician,,Light Metal,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0,0,0,Scyther,Trade with  Metal Coat,Scizor,,,,,,Mega Scizor,,Bulky pincers account for one third of Scizor’s body weight. A single swing of one of these pincers will crush a boulder completely.,pokemon_images/Scizor.jpg
213,II,shuckle,Tsubotsubo,bug,rock,Mold Pokémon,50.2,49.8,0.6,20.5,190,5120,20,10,230,10,230,5,Sturdy,Gluttony,,Contrary,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0,0,0,Shuckle,,,,,,,,,,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still.",pokemon_images/Shuckle.jpg
214,II,heracross,Heracros,bug,fighting,Singlehorn Pokémon,50.2,49.8,1.5,54.0,45,6400,80,125,75,40,95,85,Swarm,Guts,,Moxie,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,0,0,0,Heracross,,,,,,,,Mega Heracross,,Heracross loves sweet sap and will go looking through forests for it. The Pokémon uses its two antennae to pick up scents as it searches.,pokemon_images/Heracross.jpg
215,II,sneasel,Nyula,dark,ice,Sharp Claw Pokémon,50.2,49.8,0.9,28.0,60,5120,55,95,55,35,75,115,Inner Focus,Keen Eye,,Pickpocket,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0,0,0,0,Sneasel,Level up during the night while holding  Razor Claw,Weavile,,,,,,,,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy.",pokemon_images/Sneasel.jpg
216,II,teddiursa,Himeguma,normal,,Little Bear Pokémon,50,50,0.6,8.8,120,5120,60,80,50,50,50,40,Pickup,Quick Feet,,Honey Gather,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Teddiursa,Level ,Ursaring,,,,,,,,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,pokemon_images/Teddiursa.jpg
217,II,ursaring,Ringuma,normal,,Hibernator Pokémon,50,50,1.8,125.8,60,5120,90,130,75,75,75,55,Guts,Quick Feet,,Unnerve,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Teddiursa,Level ,Ursaring,,,,,,,,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.",pokemon_images/Ursaring.jpg
218,II,slugma,Magmag,fire,,Lava Pokémon,50,50,0.7,35.0,190,5120,40,40,40,70,40,20,Magma Armor,Flame Body,,Weak Armor,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,Slugma,Level ,Magcargo,,,,,,,,"Molten magma courses throughout Slugma’s circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size.",pokemon_images/Slugma.jpg
219,II,magcargo,Magcargot,fire,rock,Lava Pokémon,50,50,0.8,55.0,75,5120,60,50,120,90,80,30,Magma Armor,Flame Body,,Weak Armor,0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Slugma,Level ,Magcargo,,,,,,,,Magcargo’s shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma.,pokemon_images/Magcargo.jpg
220,II,swinub,Urimoo,ice,ground,Pig Pokémon,50.2,49.8,0.4,6.5,225,5120,50,50,40,30,30,50,Oblivious,Snow Cloak,,Thick Fat,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,0,Swinub,Level ,Piloswine,Level up while knowing  Ancient Power,Mamoswine,,,,,,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.,pokemon_images/Swinub.jpg
221,II,piloswine,Inomoo,ice,ground,Swine Pokémon,50.2,49.8,1.1,55.8,75,5120,100,100,80,60,60,50,Oblivious,Snow Cloak,,Thick Fat,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,0,Swinub,Level ,Piloswine,Level up while knowing  Ancient Power,Mamoswine,,,,,,"If it charges at an enemy, the hairs on its back stand up straight. It is very sensitive to sound.",pokemon_images/Piloswine.jpg
222,II,corsola,Sunnygo,water,rock,Coral Pokémon,24.9,75.1,0.6,5.0,60,5120,65,55,95,65,95,35,Hustle,Natural Cure,,Regenerator,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Corsola,Level 38,Cursola,,,,,,,,It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.,pokemon_images/Corsola.jpg
223,II,remoraid,Teppouo,water,,Jet Pokémon,50.2,49.8,0.6,12.0,190,5120,35,65,35,65,35,65,Hustle,Sniper,,Moody,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Remoraid,Level ,Octillery,,,,,,,,The water they shoot from their mouths can hit moving prey from more than 300 feet away.,pokemon_images/Remoraid.jpg
224,II,octillery,Okutank,water,,Jet Pokémon,50.2,49.8,0.9,28.5,75,5120,75,105,75,105,75,45,Suction Cups,Sniper,,Moody,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Remoraid,Level ,Octillery,,,,,,,,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.,pokemon_images/Octillery.jpg
225,II,delibird,Delibird,ice,flying,Delivery Pokémon,50.2,49.8,0.9,16.0,45,5120,45,55,45,65,45,75,Vital Spirit,Hustle,,Insomnia,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0,0,0,0,Delibird,,,,,,,,,,It carries food all day long. There are tales about lost people who were saved by the food it had.,pokemon_images/Delibird.jpg
226,II,mantine,Mantain,water,flying,Kite Pokémon,50.2,49.8,2.1,220.0,25,6400,85,40,70,80,140,70,Swift Swim,Water Absorb,,Water Veil,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Mantyke,Level up with Remoraid in the party,Mantine,,,,,,,,"If it builds up enough speed swimming, it can jump out above the waves and glide for over 300 feet.",pokemon_images/Mantine.jpg
227,II,skarmory,Airmd,steel,flying,Armor Bird Pokémon,50.2,49.8,1.7,50.5,25,6400,65,80,140,40,70,70,Keen Eye,Sturdy,,Weak Armor,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5,0,0,0,Skarmory,,,,,,,,,,The pointed feathers of these Pokémon are sharper than swords. Skarmory and Corviknight fight viciously over territory.,pokemon_images/Skarmory.jpg
228,II,houndour,Delvil,dark,fire,Dark Pokémon,50,50,0.6,10.8,120,5120,45,60,30,80,50,65,Early Bird,Flash Fire,,Unnerve,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,0,0,0,Houndour,Level ,Houndoom,,,,,,,,"It cooperates with others skillfully. When it becomes your partner, it’s very loyal to you as its Trainer and will obey your orders.",pokemon_images/Houndour.jpg
229,II,houndoom,Hellgar,dark,fire,Dark Pokémon,50,50,1.4,35.0,45,5120,75,90,50,110,80,95,Early Bird,Flash Fire,,Unnerve,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,0,0,0,Houndour,Level ,Houndoom,,,,,,Mega Houndoom,,They spew flames mixed with poison to finish off their opponents. They divvy up their prey evenly among the members of their pack.,pokemon_images/Houndoom.jpg
230,II,kingdra,Kingdra,water,dragon,Dragon Pokémon,50.2,49.8,1.8,152.0,45,5120,75,95,95,95,95,85,Swift Swim,Sniper,,Damp,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,0,0,0,Horsea,Level ,Seadra,Trade with  Dragon Scale,Kingdra,,,,,,"With the arrival of a storm at sea, this Pokémon will show itself on the surface. When a Kingdra and a Dragonite meet, a fierce battle ensues.",pokemon_images/Kingdra.jpg
231,II,phanpy,Gomazou,ground,,Long Nose Pokémon,50,50,0.5,33.5,120,5120,90,60,60,40,40,40,Pickup,,,Sand Veil,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0,Phanpy,Level ,Donphan,,,,,,,,"For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed.",pokemon_images/Phanpy.jpg
232,II,donphan,Donfan,ground,,Armor Pokémon,50,50,1.1,120.0,60,5120,90,120,120,60,60,50,Sturdy,,,Sand Veil,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0,Phanpy,Level ,Donphan,,,,,,,,"Donphan’s favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can’t stop very easily.",pokemon_images/Donphan.jpg
233,II,porygon2,Porygon2,normal,,Virtual Pokémon,,,0.6,32.5,45,5120,85,80,90,105,95,60,Trace,Download,,Analytic,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Porygon,Trade with  Upgrade,Porygon2,Trade with  Dubious Disc,Porygon-Z,,,,,,This is a Porygon that was updated with special data. Porygon2 develops itself by learning about many different subjects all on its own.,pokemon_images/Porygon2.jpg
234,II,stantler,Odoshishi,normal,,Big Horn Pokémon,50,50,1.4,71.2,45,5120,73,95,62,85,65,85,Intimidate,Frisk,,Sap Sipper,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Stantler,,,,,,,,,,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.",pokemon_images/Stantler.jpg
235,II,smeargle,Doble,normal,,Painter Pokémon,50,50,1.2,58.0,45,5120,55,20,35,20,45,75,Own Tempo,Technician,,Moody,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Smeargle,,,,,,,,,,The fluid of Smeargle’s tail secretions changes in the intensity of its hue as the Pokémon’s emotions change.,pokemon_images/Smeargle.jpg
236,II,tyrogue,Balkie,fighting,,Scuffle Pokémon,100,0,0.7,21.0,75,6400,35,35,35,35,35,35,Guts,Steadfast,,Vital Spirit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,0,0,Tyrogue,Attack < Defence at Level 20,Hitmonchan,Attack > Defence at Level 20,Hitmonlee,Attack = Defence at Level 20,Hitmontop,,,,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses.",pokemon_images/Tyrogue.jpg
237,II,hitmontop,Kapoerer,fighting,,Handstand Pokémon,100,0,1.4,48.0,45,6400,50,95,95,35,110,70,Intimidate,Technician,,Steadfast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,0,0,Tyrogue,Attack = Defence at Level 20,Hitmontop,,,,,,,,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground.",pokemon_images/Hitmontop.jpg
238,II,smoochum,Muchul,ice,psychic,Kiss Pokémon,0,100,0.4,6.0,45,6400,45,30,15,85,65,65,Oblivious,Forewarn,,Hydration,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0,0,0,Smoochum,Level ,Jynx,,,,,,,,"If its face gets even slightly dirty, Smoochum will bathe immediately. But if its body gets dirty, Smoochum doesn’t really seem to care.",pokemon_images/Smoochum.jpg
239,II,elekid,Elekid,electric,,Electric Pokémon,75.49,24.51,0.6,23.5,45,6400,45,63,37,65,55,95,Static,,,Vital Spirit,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Elekid,Level ,Electabuzz,Trade with  Electirizer,Electivire,,,,,,"When a storm approaches, this Pokémon gets restless. Once Elekid hears the sound of thunder, it gets full-on rowdy.",pokemon_images/Elekid.jpg
240,II,magby,Buby,fire,,Live Coal Pokémon,75.49,24.51,0.7,21.4,45,6400,45,75,37,70,55,83,Flame Body,,,Vital Spirit,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,Magby,Level ,Magmar,Trade with  Magmarizer,Magmortar,,,,,,"This Pokémon is still small and timid. Whenever Magby gets excited or surprised, flames leak from its mouth and its nose.",pokemon_images/Magby.jpg
241,II,miltank,Miltank,normal,,Milk Cow Pokémon,0,100,1.2,75.5,45,5120,95,80,105,40,70,100,Thick Fat,Scrappy,,Sap Sipper,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Miltank,,,,,,,,,,"Miltank produces highly nutritious milk, so it’s been supporting the lives of people and other Pokémon since ancient times.",pokemon_images/Miltank.jpg
242,II,blissey,Happinas,normal,,Happiness Pokémon,0,100,1.5,46.8,30,10240,255,10,10,75,135,55,Natural Cure,Serene Grace,,Healer,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Happiny,Level up during day while holding Oval Stone,Chansey,Level Up with Happiness Value at 220,Blissey,,,,,,"Whenever a Blissey finds a weakened Pokémon, it will share its egg and offer its care until the other Pokémon is all better.",pokemon_images/Blissey.jpg
243,II,raikou,Raikou,electric,,Thunder Pokémon,,,1.9,178.0,3,20480,90,85,75,115,100,115,Pressure,,,Inner Focus,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,0,0,Raikou,,,,,,,,,,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,pokemon_images/Raikou.jpg
244,II,entei,Entei,fire,,Volcano Pokémon,,,2.1,198.0,3,20480,115,115,85,90,75,100,Pressure,,,Inner Focus,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1,0,0,Entei,,,,,,,,,,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,pokemon_images/Entei.jpg
245,II,suicune,Suicune,water,,Aurora Pokémon,,,2.0,187.0,3,20480,100,75,115,90,115,85,Pressure,,,Inner Focus,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,0,0,Suicune,,,,,,,,,,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,pokemon_images/Suicune.jpg
246,II,larvitar,Yogiras,rock,ground,Rock Skin Pokémon,50.2,49.8,0.6,72.0,45,10240,50,64,50,45,50,41,Guts,,,Sand Veil,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,0,0,Larvitar,Level ,Pupitar,Level ,Tyranitar,,,,,,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil.",pokemon_images/Larvitar.jpg
247,II,pupitar,Sanagiras,rock,ground,Hard Shell Pokémon,50.2,49.8,1.2,152.0,45,10240,70,84,70,65,70,51,Shed Skin,,,,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,0,0,Larvitar,Level ,Pupitar,Level ,Tyranitar,,,,,,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power.",pokemon_images/Pupitar.jpg
248,II,tyranitar,Bangiras,rock,dark,Armor Pokémon,50.2,49.8,2.0,202.0,45,10240,100,134,110,95,100,61,Sand Stream,,,Unnerve,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,0,0,0,Larvitar,Level ,Pupitar,Level ,Tyranitar,,,,Mega Tyranitar,,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies.",pokemon_images/Tyranitar.jpg
249,II,lugia,Lugia,psychic,flying,Diving Pokémon,,,5.2,216.0,3,30720,106,90,130,90,154,110,Pressure,,,Multiscale,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0,1,0,Lugia,,,,,,,,,,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea.",pokemon_images/Lugia.jpg
250,II,ho-oh,Houou,fire,flying,Rainbow Pokémon,,,3.8,199.0,3,30720,106,130,90,110,154,90,Pressure,,,Regenerator,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,0,1,0,Ho-Oh,,,,,,,,,,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.,pokemon_images/Ho-oh.jpg
251,II,celebi,Celebi,psychic,grass,Time Travel Pokémon,,,0.6,5.0,45,30720,100,100,100,100,100,100,Natural Cure,,,,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,1,Celebi,,,,,,,,,,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us.",pokemon_images/Celebi.jpg
